EBE_class,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1,p2,p3,p4,jacobian,EBE_exp
devfromebe_recessive,1.00E-07,0.001,0.01,0.993390545,0.993390545,0.993390545,1,0.993390545,0.993390545,0.993390545,0.993390545,0.993390545,0.993390545,1,0,0.904119124,0,0.095880876,-6.72E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.308709376,0.308709376,0.308709376,1,0.308709376,0.308709376,0.308709376,0.308709376,0.308709376,0.308709376,1,0,0.014524837,0,0.985475163,-0.32172794,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.712128123,0.712128123,0.712128123,1,0.712128123,0.712128123,0.712128123,0.712128123,0.712128123,0.712128123,1,0,0.035555092,0,0.964444908,-0.020502871,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.945846869,0.945846869,0.945846869,1,0.945846869,0.945846869,0.945846869,0.945846869,0.945846869,0.945846869,1,0,0.230076574,0,0.769923426,-3.52371E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.997424634,0.997424634,0.997424634,1,0.997424634,0.997424634,0.997424634,0.997424634,0.997424634,0.997424634,1,0,0.907280241,0,0.092719759,-2.60E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.994700367,0.994700367,0.994700367,1,0.994700367,0.994700367,0.994700367,0.994700367,0.994700367,0.994700367,1,0,0.905193714,0,0.094806286,-5.38E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.755748239,0.755748239,0.755748239,1,0.755748239,0.755748239,0.755748239,0.755748239,0.755748239,0.755748239,1,0,0.042161117,0,0.957838883,-0.012032929,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.960772359,0.960772359,0.960772359,1,0.960772359,0.960772359,0.960772359,0.960772359,0.960772359,0.960772359,1,0,0.381636277,0,0.618363723,-3.11E-06,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.993325442,0.993325442,0.993325442,1,0.993325442,0.993325442,0.993325442,0.993325442,0.993325442,0.993325442,1,0,0.904064398,0,0.095935602,-6.79E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.248130266,0.248130266,0.248130266,1,0.248130266,0.248130266,0.248130266,0.248130266,0.248130266,0.248130266,1,0,0.013340274,0,0.986659726,-0.416821108,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.992462524,0.992462524,0.992462524,1,0.992462524,0.992462524,0.992462524,0.992462524,0.992462524,0.992462524,1,0,0.903326658,0,0.096673342,-7.68E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.929858165,0.929858165,0.929858165,1,0.929858165,0.929858165,0.929858165,0.929858165,0.929858165,0.929858165,1,0,0.165749923,0,0.834250077,-0.000125513,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.99673828,0.99673828,0.99673828,1,0.99673828,0.99673828,0.99673828,0.99673828,0.99673828,0.99673828,1,0,0.906772202,0,0.093227798,-3.30E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.998253767,0.998253767,0.998253767,1,0.998253767,0.998253767,0.998253767,0.998253767,0.998253767,0.998253767,1,0,0.90787919,0,0.09212081,-1.77E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.519038779,0.519038779,0.519038779,1,0.519038779,0.519038779,0.519038779,0.519038779,0.519038779,0.519038779,1,0,0.020999534,0,0.979000466,-0.104298236,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.990313599,0.990313599,0.990313599,1,0.990313599,0.990313599,0.990313599,0.990313599,0.990313599,0.990313599,1,0,0.90138241,0,0.09861759,-9.90E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.984848177,0.984848177,0.984848177,1,0.984848177,0.984848177,0.984848177,0.984848177,0.984848177,0.984848177,1,0,0.895587666,0,0.104412334,-1.56E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.951536168,0.951536168,0.951536168,1,0.951536168,0.951536168,0.951536168,0.951536168,0.951536168,0.951536168,1,0,0.26857844,0,0.73142156,-1.82495E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.928945531,0.928945531,0.928945531,1,0.928945531,0.928945531,0.928945531,0.928945531,0.928945531,0.928945531,1,0,0.163185182,0,0.836814818,-0.000132927,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.192458854,0.192458854,0.192458854,1,0.192458854,0.192458854,0.192458854,0.192458854,0.192458854,0.192458854,1,0,0.012410186,0,0.987589814,-0.519254339,0.090909091
