analysis_name,mutation_rate,epimutation_rate,backepi_rate,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,h,solns,p1,p2,p3,p4,p2_p4_sum,p2_p4_estimate,p2_p4_mutselbalance,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.995690667,1,1,0.995690667,0.995690667,1,0.43093326,2,0.909066886,2.32053E-05,0.090906689,3.21963E-06,2.64249E-05,2.55E-05,2.32E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.995672717,1,1,0.995672717,0.995672717,1,0.432728255,2,0.909066983,2.3109E-05,0.090906698,3.21E-06,2.6319E-05,2.54E-05,2.31E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.995528838,1,1,0.995528838,0.995528838,1,0.447116177,2,0.909067726,2.23654E-05,0.090906773,3.13564E-06,2.55011E-05,2.46E-05,2.24E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.995307909,1,1,0.995307909,0.995307909,1,0.469209056,2,0.909068779,2.13124E-05,0.090906878,3.03034E-06,2.43427E-05,2.34E-05,2.13E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.995182608,1,1,0.995182608,0.995182608,1,0.481739234,2,0.909069334,2.07581E-05,0.090906933,2.97491E-06,2.3733E-05,2.28E-05,2.08E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.994851185,1,1,0.994851185,0.994851185,1,0.514881465,2,0.90907067,1.9422E-05,0.090907067,2.8413E-06,2.22633E-05,2.14E-05,1.94E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.99466983,1,1,0.99466983,0.99466983,1,0.533016952,2,0.909071331,1.87612E-05,0.090907133,2.77522E-06,2.15364E-05,2.06E-05,1.88E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.994631181,1,1,0.994631181,0.994631181,1,0.536881933,2,0.909071466,1.86261E-05,0.090907147,2.76171E-06,2.13878E-05,2.05E-05,1.86E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.994613581,1,1,0.994613581,0.994613581,1,0.538641859,2,0.909071526,1.85653E-05,0.090907153,2.75562E-06,2.13209E-05,2.04E-05,1.86E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.994584573,1,1,0.994584573,0.994584573,1,0.541542681,2,0.909071626,1.84658E-05,0.090907163,2.74568E-06,2.12115E-05,2.03E-05,1.85E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.994558849,1,1,0.994558849,0.994558849,1,0.544115096,2,0.909071713,1.83785E-05,0.090907171,2.73695E-06,2.11155E-05,2.02E-05,1.84E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.994289945,1,1,0.994289945,0.994289945,1,0.571005479,2,0.909072579,1.7513E-05,0.090907258,2.6504E-06,2.01634E-05,1.93E-05,1.75E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.994250069,1,1,0.994250069,0.994250069,1,0.574993051,2,0.9090727,1.73916E-05,0.09090727,2.63826E-06,2.00298E-05,1.91E-05,1.74E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.994218412,1,1,0.994218412,0.994218412,1,0.578158776,2,0.909072795,1.72964E-05,0.09090728,2.62874E-06,1.99251E-05,1.90E-05,1.73E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993969669,1,1,0.993969669,0.993969669,1,0.603033148,2,0.909073509,1.65829E-05,0.090907351,2.55739E-06,1.91403E-05,1.82E-05,1.66E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993965732,1,1,0.993965732,0.993965732,1,0.603426754,2,0.90907352,1.65721E-05,0.090907352,2.55631E-06,1.91284E-05,1.82E-05,1.66E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993934926,1,1,0.993934926,0.993934926,1,0.606507429,2,0.909073604,1.64879E-05,0.09090736,2.54789E-06,1.90358E-05,1.81E-05,1.65E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993730633,1,1,0.993730633,0.993730633,1,0.626936669,2,0.909074141,1.59507E-05,0.090907414,2.49417E-06,1.84448E-05,1.75E-05,1.60E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993728197,1,1,0.993728197,0.993728197,1,0.627180272,2,0.909074147,1.59445E-05,0.090907415,2.49355E-06,1.8438E-05,1.75E-05,1.59E-05,,,
