scenario,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1_equil,p2_equil,p3_equil,eigen1,eigen2,eigen3,determinant
1a-symmetric,1.00E-07,0.011723914,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.460322209,0,-0.021724014,-0.021723914,-1.00E-07,-4.72E-11
1a-symmetric,1.00E-07,0.000108296,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.896880348,0.09231199,0.009807963,-0.010109257,-0.009915344,-8.70E-07,-8.72E-11
1a-symmetric,1.00E-07,0.001023081,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.907187421,0,-0.011023181,-0.011023081,-1.00E-07,-1.22E-11
1a-symmetric,1.00E-07,8.48E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.827368285,0.164176312,0.007063579,-0.010085275,-0.009945313,-4.03E-07,-4.04E-11
1a-symmetric,1.00E-07,9.38E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.862253135,0.128388156,0.008154345,-0.010094471,-0.009933029,-5.70E-07,-5.72E-11
1a-symmetric,1.00E-07,0.000726049,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.932309781,0,-0.010726149,-0.010726049,-1.00E-07,-1.15E-11
1a-symmetric,1.00E-07,9.58E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.86829454,0.122145733,0.008389371,-0.01009652,-0.009930456,-6.09E-07,-6.11E-11
1a-symmetric,1.00E-07,0.000289051,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.959454486,0.011684783,0.028522973,-0.010297184,-0.009743471,-8.11E-06,-8.14E-10
1a-symmetric,1.00E-07,0.000170122,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.94807587,0.034936806,0.016392969,-0.010172809,-0.009850682,-2.61E-06,-2.62E-10
1a-symmetric,1.00E-07,0.000931708,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.914770123,0,-0.010931808,-0.010931708,-1.00E-07,-1.20E-11
1a-symmetric,1.00E-07,0.000118858,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.913028974,0.075107291,0.010971021,-0.010120062,-0.009903375,-1.11E-06,-1.12E-10
1a-symmetric,1.00E-07,0.000935475,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.914454993,0,-0.010935575,-0.010935475,-1.00E-07,-1.20E-11
1a-symmetric,1.00E-07,0.002969708,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.771027399,0,-0.012969808,-0.012969708,-1.00E-07,-1.68E-11
1a-symmetric,1.00E-07,0.007238384,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.580100777,0,-0.017238484,-0.017238384,-1.00E-07,-2.97E-11
1a-symmetric,1.00E-07,0.001100619,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.900850641,0,-0.011100719,-0.011100619,-1.00E-07,-1.23E-11
1a-symmetric,1.00E-07,0.000487172,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.953545871,0,-0.010487272,-0.010487172,-1.00E-07,-1.10E-11
1a-symmetric,1.00E-07,0.000207108,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.956114156,0.023203824,0.020201446,-0.010211188,-0.009815709,-4.02E-06,-4.03E-10
1a-symmetric,1.00E-07,0.000159288,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.943984275,0.040110956,0.015265847,-0.010161618,-0.009861313,-2.25E-06,-2.26E-10
1a-symmetric,1.00E-07,0.010108901,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.497292215,0,-0.020109001,-0.020108901,-1.00E-07,-4.04E-11
1a-symmetric,1.00E-07,0.01366996,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.422476427,0,-0.02367006,-0.02366996,-1.00E-07,-5.60E-11
1a-symmetric,1.00E-07,0.006706561,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.598567239,0,-0.016706661,-0.016706561,-1.00E-07,-2.79E-11
1a-symmetric,1.00E-07,0.0100917,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.497717963,0,-0.0200918,-0.0200917,-1.00E-07,-4.04E-11
1a-symmetric,1.00E-07,8.52E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.82942046,0.162080499,0.007117914,-0.010085719,-0.009944686,-4.10E-07,-4.12E-11
1a-symmetric,1.00E-07,0.00046382,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.955673911,0,-0.01046392,-0.01046382,-1.00E-07,-1.09E-11
1a-symmetric,1.00E-07,0.000983796,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.910432052,0,-0.010983896,-0.010983796,-1.00E-07,-1.21E-11
1a-symmetric,1.00E-07,0.000158883,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.943809214,0.040326488,0.015223575,-0.0101612,-0.009861715,-2.24E-06,-2.24E-10
